sequence.sequenceID,alignment.name,alignment.displayName,sequence.m49_country.id,sequence.m49_country.display_name,sequence.gb_place_sampled,sequence.collection_year,sequence.earliest_collection_year,sequence.latest_collection_year,sequence.gb_length,sequence.gb_create_date,sequence.gb_update_date,sequence.host,sequence.gb_pubmed_id,sequence.isolate
AB614372,AL_Cosmopolitan_Vac,Cosmopolitan Vac,VNM,Vietnam,Hatay,2007,2007,2007,399,11-Feb-12,01-Aug-13,Canis familiaris,21937820,D 010807-VN
AB614384,AL_Cosmopolitan_Vac,Cosmopolitan Vac,VNM,Vietnam,-,2007,2007,2007,399,11-Feb-12,01-Aug-13,Homo sapiens,21937820,H 091007-VN
AB614385,AL_Cosmopolitan_Vac,Cosmopolitan Vac,VNM,Vietnam,-,2007,2007,2007,399,11-Feb-12,01-Aug-13,Homo sapiens,21937820,H 111007-VN
AB628210,AL_Cosmopolitan_Vac,Cosmopolitan Vac,VNM,Vietnam,Hatay,2007,2007,2007,294,11-Feb-12,01-Aug-13,Canis lupus familiaris,21937820,D 060807-VN
AB628212,AL_Cosmopolitan_Vac,Cosmopolitan Vac,VNM,Vietnam,Hatay,2007,2007,2007,399,11-Feb-12,01-Aug-13,Homo sapiens,21937820,H 060907-VN
AY987480,AL_Cosmopolitan_Vac,Cosmopolitan Vac,IND,India,Chennai,1998,1998,1998,688,19-Apr-05,26-Jul-16,Canis familiaris,-,DGCh3
DQ661014,AL_Cosmopolitan_Vac,Cosmopolitan Vac,BRA,Brazil,-,2000,2000,2000,513,12-Jul-06,01-Dec-08,Felis catus,-,LVC41
EF025113,AL_Cosmopolitan_Vac,Cosmopolitan Vac,CAN,Canada,Ontario,1991,1991,1991,400,04-Nov-06,14-Jul-16,skunk,18263823,N_91-SS
EF025114,AL_Cosmopolitan_Vac,Cosmopolitan Vac,CAN,Canada,Ontario,1999,1999,1999,400,04-Nov-06,14-Jul-16,Vulpes vulpes,18263823,N_99-RF
EU886631,AL_Cosmopolitan_Vac,Cosmopolitan Vac,DEU,Germany,-,2001,2001,2001,11907,16-Aug-08,07-Jul-09,Vulpes vulpes,19521660,SAD
EU886632,AL_Cosmopolitan_Vac,Cosmopolitan Vac,DEU,Germany,-,2002,2002,2002,11907,16-Aug-08,07-Jul-09,Vulpes vulpes,19521660,SAD
EU886633,AL_Cosmopolitan_Vac,Cosmopolitan Vac,AUT,Austria,-,2004,2004,2004,11907,16-Aug-08,07-Jul-09,Vulpes vulpes,19521660,SAD
EU886634,AL_Cosmopolitan_Vac,Cosmopolitan Vac,DEU,Germany,-,2004,2004,2004,11907,16-Aug-08,07-Jul-09,Vulpes vulpes,19521660,SAD
EU886635,AL_Cosmopolitan_Vac,Cosmopolitan Vac,DEU,Germany,-,2005,2005,2005,11907,16-Aug-08,07-Jul-09,Vulpes vulpes,19521660,SAD
EU886636,AL_Cosmopolitan_Vac,Cosmopolitan Vac,AUT,Austria,-,2006,2006,2006,11907,16-Aug-08,07-Jul-09,Vulpes vulpes,19521660,SAD
FJ228687,AL_Cosmopolitan_Vac2,Cosmopolitan Vac2,MEX,Mexico,Sonora,2003,2003,2003,264,08-Mar-09,24-Jul-16,skunk,-,3886Sonsk2003
GQ406342,AL_Cosmopolitan_Vac,Cosmopolitan Vac,CHN,China,-,2005,2005,2005,1575,06-Sep-09,06-Sep-09,Canis familiaris,-,ERA
GQ406343,AL_Cosmopolitan_Vac,Cosmopolitan Vac,CHN,China,-,2005,2005,2005,1353,06-Sep-09,06-Sep-09,Canis familiaris,-,ERA
GU991844,AL_Cosmopolitan_Vac2,Cosmopolitan Vac2,MEX,Mexico,Sinaloa/Durango,2003,2003,2003,1350,28-Apr-10,25-Jul-16,Mephitis mephitis (skunk),-,231mxsinSK03
GU991845,AL_Cosmopolitan_Vac2,Cosmopolitan Vac2,MEX,Mexico,Sinaloa/Durango,2005,2005,2005,1350,28-Apr-10,25-Jul-16,Mephitis mephitis (skunk),-,633mxsonsk05
GU991846,AL_Cosmopolitan_Vac2,Cosmopolitan Vac2,MEX,Mexico,Sinaloa/Durango,2001,2001,2001,1350,28-Apr-10,25-Jul-16,Mephitis mephitis (skunk),-,1535mxDGOsk01
JF972385,AL_Cosmopolitan_Vac,Cosmopolitan Vac,CHN,China,Guangxi,2007,2007,2007,260,30-Apr-13,30-Apr-13,bat,23197137,Guigang257
JF972390,AL_Cosmopolitan_Vac,Cosmopolitan Vac,CHN,China,Guangxi,2007,2007,2007,260,30-Apr-13,30-Apr-13,bat,23197137,Zhongshan77
JN234424,AL_Cosmopolitan_Vac,Cosmopolitan Vac,FRA,France,-,1882,1882,1882,1675,10-Dec-11,10-Dec-11,Felis catus,-,PV-2061-2
JN234425,AL_Cosmopolitan_Vac,Cosmopolitan Vac,FRA,France,-,1882,1882,1882,1675,10-Dec-11,10-Dec-11,Felis catus,-,PV-2061-3
JN234426,AL_Cosmopolitan_Vac,Cosmopolitan Vac,FRA,France,-,1882,1882,1882,1675,10-Dec-11,10-Dec-11,Felis catus,-,PV-2061-5
JQ685975,AL_Cosmopolitan_Vac2,Cosmopolitan Vac2,MEX,Mexico,-,2009,2009,2009,11925,11-Jul-12,11-Jul-12,Spilogale putorius,22737076,MEXSK3636
KC522613,AL_Cosmopolitan_Vac,Cosmopolitan Vac,SVN,Slovenia,-,2012,2012,2012,4367,30-Mar-16,30-Mar-16,Vulpes vulpes,24484500,3511-12SVN
KC792230,AL_Cosmopolitan_Vac,Cosmopolitan Vac,NPL,Nepal,-,2010,2010,2010,1572,18-Jun-13,18-Jun-13,vaccine strain,-,Nepal_28
KC792231,AL_Cosmopolitan_Vac,Cosmopolitan Vac,NPL,Nepal,-,2010,2010,2010,1572,18-Jun-13,18-Jun-13,vaccine strain,-,Nepal_29
KF831531,AL_Cosmopolitan_Vac2,Cosmopolitan Vac2,USA,United States,-,1939,1939,1939,220,07-Jan-14,07-Jan-14,Homo sapiens,-,LEP
KF831542,AL_Cosmopolitan_Vac,Cosmopolitan Vac,USA,United States,-,1935,1935,1935,220,07-Jan-14,07-Jan-14,Canis familiaris,-,SAD Bern
KF831543,AL_Cosmopolitan_Vac2,Cosmopolitan Vac2,CZE,Czechia,-,1987,1987,1987,220,07-Jan-14,07-Jan-14,rodent,-,CSSR/A-Virus
KF831566,AL_Cosmopolitan_Vac,Cosmopolitan Vac,USA,United States,-,1935,1935,1935,543,07-Jan-14,07-Jan-14,Canis familiaris,-,SAD Bern
KJ001519,AL_Cosmopolitan_Vac2,Cosmopolitan Vac2,MEX,Mexico,-,2008,2008,2008,1350,24-Nov-15,24-Nov-15,Spilogale sp.,-,3363skSo08
KJ001520,AL_Cosmopolitan_Vac2,Cosmopolitan Vac2,MEX,Mexico,-,2009,2009,2009,1350,24-Nov-15,24-Nov-15,Spilogale sp.,-,2433skCh09
KJ001521,AL_Cosmopolitan_Vac2,Cosmopolitan Vac2,MEX,Mexico,-,2008,2008,2008,1350,24-Nov-15,24-Nov-15,Spilogale sp.,-,8322skSo08
KJ001522,AL_Cosmopolitan_Vac2,Cosmopolitan Vac2,MEX,Mexico,-,2009,2009,2009,1350,24-Nov-15,24-Nov-15,Spilogale sp.,-,2393skSi09
KJ001529,AL_Cosmopolitan_Vac2,Cosmopolitan Vac2,MEX,Mexico,-,2009,2009,2009,1342,24-Nov-15,24-Nov-15,Spilogale sp.,-,889skSin09
KJ001530,AL_Cosmopolitan_Vac2,Cosmopolitan Vac2,MEX,Mexico,-,2009,2009,2009,1342,24-Nov-15,24-Nov-15,Spilogale sp.,-,1566skCh09
KM584049,AL_Cosmopolitan_Vac,Cosmopolitan Vac,IRN,Iran,-,2013,2013,2013,1445,27-Jan-15,27-Jan-15,mammals,-,2061-VERO
KM584050,AL_Cosmopolitan_Vac,Cosmopolitan Vac,IRN,Iran,-,2013,2013,2013,1434,27-Jan-15,27-Jan-15,mammals,-,2061-BHK
KR337508,AL_Cosmopolitan_Vac,Cosmopolitan Vac,LVA,Latvia,-,2013,2013,2013,361,14-Feb-16,14-Feb-16,badger,26849358,DR784
KR337545,AL_Cosmopolitan_Vac,Cosmopolitan Vac,LTU,Lithuania,-,2008,2008,2008,361,14-Feb-16,14-Feb-16,marten,26849358,24771
KT381843,AL_Cosmopolitan_Vac,Cosmopolitan Vac,IND,India,-,2013,2013,2013,305,28-Nov-15,28-Nov-15,Canis familiaris,-,Rab/NIVEDI/Kar_8/Dog/2013
KT381844,AL_Cosmopolitan_Vac,Cosmopolitan Vac,IND,India,-,2013,2013,2013,311,28-Nov-15,28-Nov-15,Canis familiaris,-,Rab/NIVEDI/Kar_9/Dog/2013
KT381853,AL_Cosmopolitan_Vac,Cosmopolitan Vac,IND,India,-,2014,2014,2014,492,28-Nov-15,28-Nov-15,Canis familiaris,-,Rab/NIVEDI/ker_6/Dog/2014
KX365168,AL_Cosmopolitan_Vac,Cosmopolitan Vac,ROU,Romania,-,2015,2015,2015,1274,15-Feb-17,15-Feb-17,Felis catus,27576075,Cattle DR1037
MH660455,AL_Cosmopolitan_Vac,Cosmopolitan Vac,DEU,Germany,-,2017,2017,2017,13152,30-Mar-19,30-Mar-19,-,-,SPBN GASGAS (IDT)
EF206718,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,1965,1965,1965,11933,10-Feb-07,01-Jul-08,-,18485548,SAD1-3670 var 2
EU182347,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,-,-,2007,11933,13-Nov-07,13-Nov-07,-,-,Rb/E3-15-5
AB781935,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,-,-,2013,11932,13-Feb-13,13-Feb-13,-,-,ERA
FJ913470,AL_Cosmopolitan_Vac,Cosmopolitan Vac,CHN,China,-,2007,2007,2007,11932,23-May-09,23-May-09,-,-,ERA-VC
JX276550,AL_Cosmopolitan_Vac,Cosmopolitan Vac,CHN,China,-,-,-,2012,11932,17-Sep-12,17-Sep-12,-,-,PV-2061
M13215,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,-,-,1993,11932,03-Aug-93,15-Sep-89,-,3459163,-
NC_001542,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,-,-,1993,11932,03-Aug-93,08-Dec-08,-,3407152,-
EF206707,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,1975,1975,1975,11931,10-Feb-07,01-Jul-08,-,18485548,ERA; Evelyn Rokitniki Abelseth
EF206717,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,1965,1965,1965,11931,10-Feb-07,01-Jul-08,-,18485548,SAD1-3670 var 1
EU182346,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,-,-,2007,11931,13-Nov-07,13-Nov-07,-,-,RB/E3-15
LT993240,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,Canada,-,1991,1991,1991,11931,09-Apr-18,09-Apr-18,-,-,CAN/1991/brain
EF206710,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,1978,1978,1978,11930,10-Feb-07,01-Jul-08,-,18485548,SAD Bern original var 1
EF206711,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,1978,1978,1978,11930,10-Feb-07,01-Jul-08,-,18485548,SAD Bern original var 2
LN713567,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,-,-,2015,11929,24-Sep-15,24-Sep-15,cell culture,26387431,sadBatch744_5_var01
LN713568,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,-,-,2015,11929,24-Sep-15,24-Sep-15,cell culture,26387431,sadBatch744_5_var02
LT909527,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,-,-,2018,11929,29-Jan-18,29-Jan-18,-,-,13102
LT909549,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,-,-,2018,11929,29-Jan-18,29-Jan-18,-,-,34873
AF499686,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,-,-,2002,11928,25-Apr-02,22-Jun-04,-,-,SRV9
EF206708,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,-,-,2007,11928,10-Feb-07,01-Jul-08,-,18485548,SAD Bern (Lysvulpen)
EF206709,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,-,-,2007,11928,10-Feb-07,01-Jul-08,-,18485548,SAD B19 (Fuchsoral)
EF206712,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,1978,1978,1978,11928,10-Feb-07,01-Jul-08,-,18485548,SAD Bern original var 3
EF206713,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,1978,1978,1978,11928,10-Feb-07,01-Jul-08,-,18485548,SAD Bern original var 4
EF206714,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,-,-,2007,11928,10-Feb-07,01-Jul-08,-,18485548,SAD Bern original var 5
EF206715,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,-,-,2007,11928,10-Feb-07,01-Jul-08,-,18485548,SAD P5/88 (Rabifox)
EF206716,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,1993,1993,1993,11928,10-Feb-07,01-Jul-08,-,18485548,SAD VA1 (original)
EF206719,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,-,-,2007,11928,10-Feb-07,01-Jul-08,-,18485548,SAG 2
EF206720,AL_Cosmopolitan_Vac,Cosmopolitan Vac,-,-,-,-,-,2007,11928,10-Feb-07,01-Jul-08,-,18485548,SAD Bern (Sanafox)
