taxon	host	major_clade	minor_clade	cluster	sequenceID	everything	isolate	sequenceID_plus_isolate_plus_minor_clade	sequenceID_plus_cluster
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB041966	Canis familiaris	Indian-Sub	-	-	AB041966	AB041966/Indian-Sub/-/-/Canis familiaris}	SRL1060	AB041966/SRL1060/-	AB041966/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB247428	Desmodus rotundus	Bats	DR	-	AB247428	AB247428/Bats/DR/-/Desmodus rotundus}	BR-DR8	AB247428/BR-DR8/DR	AB247428/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB362483	Lycalopex vetulus	Cosmopolitan	AM3b	-	AB362483	AB362483/Cosmopolitan/AM3b/-/Lycalopex vetulus}	BR_Pfx1	AB362483/BR_Pfx1/AM3b	AB362483/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB383163	-	Bats	LC	-	AB383163	AB383163/Bats/LC/-/-}	BR-BAT15	AB383163/BR-BAT15/LC	AB383163/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB383164	-	Bats	LC	-	AB383164	AB383164/Bats/LC/-/-}	BR-BAT16	AB383164/BR-BAT16/LC	AB383164/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB383165	-	Bats	EFu 	-	AB383165	AB383165/Bats/EFu /-/-}	BR-BAT28	AB383165/BR-BAT28/EFu 	AB383165/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB383166	-	Bats	EFu 	-	AB383166	AB383166/Bats/EFu /-/-}	BR-BAT29	AB383166/BR-BAT29/EFu 	AB383166/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB383167	Eumops auripendulus	Bats	EFu 	-	AB383167	AB383167/Bats/EFu /-/Eumops auripendulus}	BR-EA1	AB383167/BR-EA1/EFu 	AB383167/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB383168	Eptesicus furinalis	Bats	EFu 	-	AB383168	AB383168/Bats/EFu /-/Eptesicus furinalis}	BR-EF1	AB383168/BR-EF1/EFu 	AB383168/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB383170	Eptesicus furinalis	Bats	EFu 	-	AB383170	AB383170/Bats/EFu /-/Eptesicus furinalis}	BR-EF3	AB383170/BR-EF3/EFu 	AB383170/-
