taxon	host	major_clade	minor_clade	sequenceID	combined
alignment/AL_Indian-Sub/member/ncbi-refseqs/AB041966	Canis familiaris	Indian-Sub	-	AB041966	AB041966/Indian-Sub/-/Canis familiaris}
alignment/AL_Bats_DR/member/ncbi-refseqs/AB247428	Desmodus rotundus	Bats	DR	AB247428	AB247428/Bats/DR/Desmodus rotundus}
alignment/AL_Cosmopolitan_AM3b/member/ncbi-refseqs/AB362483	Lycalopex vetulus	Cosmopolitan	AM3b	AB362483	AB362483/Cosmopolitan/AM3b/Lycalopex vetulus}
alignment/AL_Bats_LC/member/ncbi-refseqs/AB383163	-	Bats	LC	AB383163	AB383163/Bats/LC/-}
alignment/AL_Bats_LC/member/ncbi-refseqs/AB383164	-	Bats	LC	AB383164	AB383164/Bats/LC/-}
alignment/AL_Bats/member/ncbi-refseqs/AB383165	-	Bats	EFu 	AB383165	AB383165/Bats/EFu /-}
alignment/AL_Bats/member/ncbi-refseqs/AB383166	-	Bats	EFu 	AB383166	AB383166/Bats/EFu /-}
alignment/AL_Bats/member/ncbi-refseqs/AB383167	Eumops auripendulus	Bats	EFu 	AB383167	AB383167/Bats/EFu /Eumops auripendulus}
alignment/AL_Bats/member/ncbi-refseqs/AB383168	Eptesicus furinalis	Bats	EFu 	AB383168	AB383168/Bats/EFu /Eptesicus furinalis}
alignment/AL_Bats/member/ncbi-refseqs/AB383170	Eptesicus furinalis	Bats	EFu 	AB383170	AB383170/Bats/EFu /Eptesicus furinalis}
alignment/AL_Bats/member/ncbi-refseqs/AB383171	Eptesicus furinalis	Bats	EFu 	AB383171	AB383171/Bats/EFu /Eptesicus furinalis}
alignment/AL_Bats/member/ncbi-refseqs/AB383172	Nyctinomops laticaudatus	Bats	EFu 	AB383172	AB383172/Bats/EFu /Nyctinomops laticaudatus}
alignment/AL_Cosmopolitan_AM3a/member/ncbi-refseqs/AB517659	Canis familiaris	Cosmopolitan	AM3a	AB517659	AB517659/Cosmopolitan/AM3a/Canis familiaris}
alignment/AL_Cosmopolitan_AM3b/member/ncbi-refseqs/AB517660	Dusicyon_sp.	Cosmopolitan	AM3b	AB517660	AB517660/Cosmopolitan/AM3b/Dusicyon_sp.}
alignment/AL_Bats_DR/member/ncbi-refseqs/AB519641	Artibeus lituratus	Bats	DR	AB519641	AB519641/Bats/DR/Artibeus lituratus}
alignment/AL_Bats_DR/member/ncbi-refseqs/AB519642	Desmodus rotundus	Bats	DR	AB519642	AB519642/Bats/DR/Desmodus rotundus}
alignment/AL_Indian-Sub/member/ncbi-refseqs/AB635373	Paradoxurus zeylonensis	Indian-Sub	-	AB635373	AB635373/Indian-Sub/-/Paradoxurus zeylonensis}
alignment/AL_Cosmopolitan_AM1/member/ncbi-refseqs/AB645847	Marmota monax	Cosmopolitan	AM1	AB645847	AB645847/Cosmopolitan/AM1/Marmota monax}
alignment/AL_Asian_SEA3/member/ncbi-refseqs/AB981663	Canis familiaris	Asian	SEA3	AB981663	AB981663/Asian/SEA3/Canis familiaris}
alignment/AL_Asian_SEA3/member/ncbi-refseqs/AB981664	Canis familiaris	Asian	SEA3	AB981664	AB981664/Asian/SEA3/Canis familiaris}
alignment/AL_Cosmopolitan_CA3/member/ncbi-refseqs/AF325462	Homo sapiens	Cosmopolitan	CA3	AF325462	AF325462/Cosmopolitan/CA3/Homo sapiens}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/AF325463	Bos taurus	Cosmopolitan	Cosmopolitan	AF325463	AF325463/Cosmopolitan/Cosmopolitan/Bos taurus}
alignment/AL_Cosmopolitan_CE/member/ncbi-refseqs/AF325464	Nyctereutes procyonoides	Cosmopolitan	CE	AF325464	AF325464/Cosmopolitan/CE/Nyctereutes procyonoides}
alignment/AL_Cosmopolitan_AF1a/member/ncbi-refseqs/AF325466	Homo sapiens	Cosmopolitan	AF1a	AF325466	AF325466/Cosmopolitan/AF1a/Homo sapiens}
