taxon	host	major_clade	minor_clade	cluster	sequenceID	everything	isolate	sequenceID_plus_isolate_plus_minor_clade	sequenceID_plus_cluster
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB383165	-	Bats	EFu	-	AB383165	AB383165/Bats/EFu/-/-}	BR-BAT28	AB383165/BR-BAT28/EFu	AB383165/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB517659	Canis familiaris	Cosmopolitan	AM3a	-	AB517659	AB517659/Cosmopolitan/AM3a/-/Canis familiaris}	BRdg335	AB517659/BRdg335/AM3a	AB517659/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB517660	Dusicyon_sp.	Cosmopolitan	AM3b	-	AB517660	AB517660/Cosmopolitan/AM3b/-/Dusicyon_sp.}	BR_Pfx3	AB517660/BR_Pfx3/AM3b	AB517660/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB519641	Artibeus lituratus	Bats	DR	-	AB519641	AB519641/Bats/DR/-/Artibeus lituratus}	BR_AL1	AB519641/BR_AL1/DR	AB519641/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB519642	Desmodus rotundus	Bats	DR	-	AB519642	AB519642/Bats/DR/-/Desmodus rotundus}	BR_DR1	AB519642/BR_DR1/DR	AB519642/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB635373	Paradoxurus zeylonensis	Indian-Sub	-	-	AB635373	AB635373/Indian-Sub/-/-/Paradoxurus zeylonensis}	H_1413_09	AB635373/H_1413_09/-	AB635373/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB645847	Marmota monax	Cosmopolitan	AM1	-	AB645847	AB645847/Cosmopolitan/AM1/-/Marmota monax}	1088	AB645847/1088/AM1	AB645847/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB981663	Canis familiaris	Asian	SEA3	-	AB981663	AB981663/Asian/SEA3/-/Canis familiaris}	Lao2	AB981663/Lao2/SEA3	AB981663/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325466	Homo sapiens	Cosmopolitan	AF1a	-	AF325466	AF325466/Cosmopolitan/AF1a/-/Homo sapiens}	TUN1-HM	AF325466/TUN1-HM/AF1a	AF325466/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325485	Cynictis penicillata	Africa-3	-	-	AF325485	AF325485/Africa-3/-/-/Cynictis penicillata}	SAF1-MG	AF325485/SAF1-MG/-	AF325485/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325487	Homo sapiens	Asian	SEA3	-	AF325487	AF325487/Asian/SEA3/-/Homo sapiens}	MAL1-HM	AF325487/MAL1-HM/SEA3	AF325487/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369274	Vulpes vulpes	Cosmopolitan	CA1	-	AF369274	AF369274/Cosmopolitan/CA1/-/Vulpes vulpes}	RU7.FX	AF369274/RU7.FX/CA1	AF369274/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369297	Canis familiaris	Cosmopolitan	AF1b	-	AF369297	AF369297/Cosmopolitan/AF1b/-/Canis familiaris}	V250.CD	AF369297/V250.CD/AF1b	AF369297/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369301	Cynictis penicillata	Africa-3	-	-	AF369301	AF369301/Africa-3/-/-/Cynictis penicillata}	V050.MG	AF369301/V050.MG/-	AF369301/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369315	Canis familiaris	Cosmopolitan	AM3b	-	AF369315	AF369315/Cosmopolitan/AM3b/-/Canis familiaris}	P1.DG	AF369315/P1.DG/AM3b	AF369315/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369322	Canis familiaris	Cosmopolitan	AF1a	-	AF369322	AF369322/Cosmopolitan/AF1a/-/Canis familiaris}	V027.DG	AF369322/V027.DG/AF1a	AF369322/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369330	Bos taurus	Arctic	AL1a	-	AF369330	AF369330/Arctic/AL1a/-/Bos taurus}	V458.DG	AF369330/V458.DG/AL1a	AF369330/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF467949	Cynictis penicillata	Africa-3	-	-	AF467949	AF467949/Africa-3/-/-/Cynictis penicillata}	-	AF467949/-/-	AF467949/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AY705373	Homo sapiens	Bats	PS	-	AY705373	AY705373/Bats/PS/-/Homo sapiens}	SHBRV18	AY705373/SHBRV18/PS	AY705373/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AY956319	Homo sapiens	Arctic	AL1a	-	AY956319	AY956319/Arctic/AL1a/-/Homo sapiens}	Serotype_1	AY956319/Serotype_1/AL1a	AY956319/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EF437215	Homo sapiens	Arctic	AL1a	-	EF437215	EF437215/Arctic/AL1a/-/Homo sapiens}	NNV_RAB_H	EF437215/NNV_RAB_H/AL1a	EF437215/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EU086146	Canis familiaris	Asian	SEA1b	-	EU086146	EU086146/Asian/SEA1b/-/Canis familiaris}	05005CHI	EU086146/05005CHI/SEA1b	EU086146/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EU293111	Homo sapiens	Asian	SEA3	-	EU293111	EU293111/Asian/SEA3/-/Homo sapiens}	8764THA	EU293111/8764THA/SEA3	EU293111/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EU293115	Vulpes vulpes	Cosmopolitan	WE	-	EU293115	EU293115/Cosmopolitan/WE/-/Vulpes vulpes}	9147FRA	EU293115/9147FRA/WE	EU293115/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EU293116	Tadarida brasilensis	Bats	TB	-	EU293116	EU293116/Bats/TB/-/Tadarida brasilensis}	9704ARG	EU293116/9704ARG/TB	EU293116/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EU311738	Procyon lotor	RAC-SK	-	-	EU311738	EU311738/RAC-SK/-/-/Procyon lotor}	RRV_ON_99	EU311738/RRV_ON_99/-	EU311738/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EU643590	Homo sapiens	Asian	SEA2a	-	EU643590	EU643590/Asian/SEA2a/-/Homo sapiens}	HN10	EU643590/HN10/SEA2a	EU643590/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/FJ712194	Canis familiaris	Asian	SEA1b	-	FJ712194	FJ712194/Asian/SEA1b/-/Canis familiaris}	D02	FJ712194/D02/SEA1b	FJ712194/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/FJ712195	Melogale moschata	Asian	SEA2b	-	FJ712195	FJ712195/Asian/SEA2b/-/Melogale moschata}	F02	FJ712195/F02/SEA2b	FJ712195/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/GU345747	Homo sapiens	Asian	SEA1a	-	GU345747	GU345747/Asian/SEA1a/-/Homo sapiens}	RV_J	GU345747/RV_J/SEA1a	GU345747/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/GU345748	Canis familiaris	Asian	SEA1b	-	GU345748	GU345748/Asian/SEA1b/-/Canis familiaris}	SH06	GU345748/SH06/SEA1b	GU345748/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/GU358653	Canis familiaris	Asian	SEA2a	-	GU358653	GU358653/Asian/SEA2a/-/Canis familiaris}	GX4	GU358653/GX4/SEA2a	GU358653/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/GU647092	Melogale moschata	Asian	SEA2b	-	GU647092	GU647092/Asian/SEA2b/-/Melogale moschata}	JX08_45	GU647092/JX08_45/SEA2b	GU647092/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/HE802675	Bos taurus	Arctic	AL1a	-	HE802675	HE802675/Arctic/AL1a/-/Bos taurus}	Pk_23	HE802675/Pk_23/AL1a	HE802675/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/HE802676	Bos taurus	Arctic	AL1b	-	HE802676	HE802676/Arctic/AL1b/-/Bos taurus}	Pk_24	HE802676/Pk_24/AL1b	HE802676/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/HQ450385	Canis familiaris	Asian	SEA1b	-	HQ450385	HQ450385/Asian/SEA1b/-/Canis familiaris}	DRV_AH08	HQ450385/DRV_AH08/SEA1b	HQ450385/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/HQ450386	Canis familiaris	Cosmopolitan	AM2a	-	HQ450386	HQ450386/Cosmopolitan/AM2a/-/Canis familiaris}	DRV_Mexico	HQ450386/DRV_Mexico/AM2a	HQ450386/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685894	Mephitis mephitis	Cosmopolitan	AM4	-	JQ685894	JQ685894/Cosmopolitan/AM4/-/Mephitis mephitis}	CA982	JQ685894/CA982/AM4	JQ685894/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685895	Lasionycteris noctivagans	Bats	LN	-	JQ685895	JQ685895/Bats/LN/-/Lasionycteris noctivagans}	WA1185	JQ685895/WA1185/LN	JQ685895/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685899	Urocyon cinereoargenteus	Cosmopolitan	AM2b	-	JQ685899	JQ685899/Cosmopolitan/AM2b/-/Urocyon cinereoargenteus}	A10-0515	JQ685899/A10-0515/AM2b	JQ685899/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685900	Lasiurus seminolus	Bats	LS	-	JQ685900	JQ685900/Bats/LS/-/Lasiurus seminolus}	FL769	JQ685900/FL769/LS	JQ685900/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685901	Procyon lotor	RAC-SK	-	-	JQ685901	JQ685901/RAC-SK/-/-/Procyon lotor}	RAC	JQ685901/RAC/-	JQ685901/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685902	Lasiurus borealis	Bats	LB	-	JQ685902	JQ685902/Bats/LB/-/Lasiurus borealis}	TN209	JQ685902/TN209/LB	JQ685902/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685905	Tadarida brasiliensis	Bats	TB	-	JQ685905	JQ685905/Bats/TB/-/Tadarida brasiliensis}	FL385	JQ685905/FL385/TB	JQ685905/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685910	Lasiurus xanthinus	Bats	LX	-	JQ685910	JQ685910/Bats/LX/-/Lasiurus xanthinus}	TX5960	JQ685910/TX5960/LX	JQ685910/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685915	Lasiurus intermedius	Bats	LI	-	JQ685915	JQ685915/Bats/LI/-/Lasiurus intermedius}	TX4904	JQ685915/TX4904/LI	JQ685915/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685916	Lasiurus intermedius	Bats	LI	-	JQ685916	JQ685916/Bats/LI/-/Lasiurus intermedius}	FL1010	JQ685916/FL1010/LI	JQ685916/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685918	Urocyon cinereoargenteus	Bats	MYsp	-	JQ685918	JQ685918/Bats/MYsp/-/Urocyon cinereoargenteus}	OR05506	JQ685918/OR05506/MYsp	JQ685918/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685919	Lasiurus borealis	Bats	LB	-	JQ685919	JQ685919/Bats/LB/-/Lasiurus borealis}	NJ2262	JQ685919/NJ2262/LB	JQ685919/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685920	Eptesicus fuscus	Bats	EF-E1	-	JQ685920	JQ685920/Bats/EF-E1/-/Eptesicus fuscus}	EF	JQ685920/EF/EF-E1	JQ685920/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685921	Myotis austroriparius	Bats	MYsp	-	JQ685921	JQ685921/Bats/MYsp/-/Myotis austroriparius}	FL1078	JQ685921/FL1078/MYsp	JQ685921/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685925	Eptesicus fuscus	Bats	EF-E2	-	JQ685925	JQ685925/Bats/EF-E2/-/Eptesicus fuscus}	waef03	JQ685925/waef03/EF-E2	JQ685925/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685929	Spilogale putorius	RAC-SK	-	-	JQ685929	JQ685929/RAC-SK/-/-/Spilogale putorius}	MEXSK3644	JQ685929/MEXSK3644/-	JQ685929/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685931	Eptesicus fuscus	Bats	EF-W2	-	JQ685931	JQ685931/Bats/EF-W2/-/Eptesicus fuscus}	WA0173	JQ685931/WA0173/EF-W2	JQ685931/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685936	Bos taurus	Bats	DR	-	JQ685936	JQ685936/Bats/DR/-/Bos taurus}	3634DR	JQ685936/3634DR/DR	JQ685936/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685938	Mephitis mephitis	RAC-SK	-	-	JQ685938	JQ685938/RAC-SK/-/-/Mephitis mephitis}	A10-0514	JQ685938/A10-0514/-	JQ685938/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685942	Eptesicus fuscus	Bats	EF-W2	-	JQ685942	JQ685942/Bats/EF-W2/-/Eptesicus fuscus}	AZBAT-65094	JQ685942/AZBAT-65094/EF-W2	JQ685942/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685943	Urocyon cinereoargenteus	Cosmopolitan	AM2b	-	JQ685943	JQ685943/Cosmopolitan/AM2b/-/Urocyon cinereoargenteus}	A10-0511	JQ685943/A10-0511/AM2b	JQ685943/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685944	Mephitis mephitis	Cosmopolitan	AM1	-	JQ685944	JQ685944/Cosmopolitan/AM1/-/Mephitis mephitis}	NC839	JQ685944/NC839/AM1	JQ685944/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685947	Lasiurus cinereus	Bats	LC	-	JQ685947	JQ685947/Bats/LC/-/Lasiurus cinereus}	TN310	JQ685947/TN310/LC	JQ685947/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685952	Parastrellus hesperos	Bats	PH	-	JQ685952	JQ685952/Bats/PH/-/Parastrellus hesperos}	A02-2971	JQ685952/A02-2971/PH	JQ685952/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685953	Homo sapiens	Bats	DR	-	JQ685953	JQ685953/Bats/DR/-/Homo sapiens}	3645DR	JQ685953/3645DR/DR	JQ685953/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685954	Spilogale putorius	RAC-SK	-	-	JQ685954	JQ685954/RAC-SK/-/-/Spilogale putorius}	MXSK13938	JQ685954/MXSK13938/-	JQ685954/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685955	Myotis yumanensis	Bats	MYu	-	JQ685955	JQ685955/Bats/MYu/-/Myotis yumanensis}	AZ4490	JQ685955/AZ4490/MYu	JQ685955/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685956	Eptesicus fuscus	Bats	EF-W1	-	JQ685956	JQ685956/Bats/EF-W1/-/Eptesicus fuscus}	AZBAT-7453	JQ685956/AZBAT-7453/EF-W1	JQ685956/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685957	Urocyon cinereoargenteus	Bats	MYsp	-	JQ685957	JQ685957/Bats/MYsp/-/Urocyon cinereoargenteus}	OR8767	JQ685957/OR8767/MYsp	JQ685957/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685963	Nasua narica	Bats	TB	-	JQ685963	JQ685963/Bats/TB/-/Nasua narica}	Coati -3639	JQ685963/Coati -3639/TB	JQ685963/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685970	Mephitis mephitis	Cosmopolitan	AM4	-	JQ685970	JQ685970/Cosmopolitan/AM4/-/Mephitis mephitis}	CASK2	JQ685970/CASK2/AM4	JQ685970/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685971	Antrozous pallidus	Bats	AP	-	JQ685971	JQ685971/Bats/AP/-/Antrozous pallidus}	AZ3003	JQ685971/AZ3003/AP	JQ685971/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685975	Spilogale putorius	Cosmopolitan	Vac2	-	JQ685975	JQ685975/Cosmopolitan/Vac2/-/Spilogale putorius}	MEXSK3636	JQ685975/MEXSK3636/Vac2	JQ685975/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685987	Vulpes vulpes	Cosmopolitan	AM1	-	JQ685987	JQ685987/Cosmopolitan/AM1/-/Vulpes vulpes}	A10-6931	JQ685987/A10-6931/AM1	JQ685987/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685998	Myotis sp	Bats	MYsp	-	JQ685998	JQ685998/Bats/MYsp/-/Myotis sp}	T91-0038	JQ685998/T91-0038/MYsp	JQ685998/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ730682	Canis familiaris	Asian	SEA3	-	JQ730682	JQ730682/Asian/SEA3/-/Canis familiaris}	CYN1009D	JQ730682/CYN1009D/SEA3	JQ730682/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ944705	Canis familiaris	Cosmopolitan	CA1	-	JQ944705	JQ944705/Cosmopolitan/CA1/-/Canis familiaris}	1350KRA	JQ944705/1350KRA/CA1	JQ944705/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ944706	Canis familiaris	Cosmopolitan	CA2	-	JQ944706	JQ944706/Cosmopolitan/CA2/-/Canis familiaris}	1352KRA	JQ944706/1352KRA/CA2	JQ944706/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ944708	Vulpes vulpes	Cosmopolitan	CA3	-	JQ944708	JQ944708/Cosmopolitan/CA3/-/Vulpes vulpes}	1564NNO	JQ944708/1564NNO/CA3	JQ944708/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ970480	Canis familiaris	Asian	SEA2a	-	JQ970480	JQ970480/Asian/SEA2a/-/Canis familiaris}	CHN0802D	JQ970480/CHN0802D/SEA2a	JQ970480/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ970481	Canis familiaris	Asian	SEA1b	-	JQ970481	JQ970481/Asian/SEA1b/-/Canis familiaris}	CJS0621D	JQ970481/CJS0621D/SEA1b	JQ970481/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ970484	Canis familiaris	Asian	SEA1b	-	JQ970484	JQ970484/Asian/SEA1b/-/Canis familiaris}	CJX0903D	JQ970484/CJX0903D/SEA1b	JQ970484/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ970485	Canis familiaris	Asian	SEA1b	-	JQ970485	JQ970485/Asian/SEA1b/-/Canis familiaris}	CJX0906D	JQ970485/CJX0906D/SEA1b	JQ970485/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JX473838	Und.	Cosmopolitan	AF1b	-	JX473838	JX473838/Cosmopolitan/AF1b/-/Und.}	178J09	JX473838/178J09/AF1b	JX473838/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KC169986	Bos taurus	Asian	SEA1b	-	KC169986	KC169986/Asian/SEA1b/-/Bos taurus}	GXHXN	KC169986/GXHXN/SEA1b	KC169986/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KC171645	Nyctereutes procyonoides	Arctic	AL2	-	KC171645	KC171645/Arctic/AL2/-/Nyctereutes procyonoides}	BV9901PJ	KC171645/BV9901PJ/AL2	KC171645/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KC762941	Melogale moschata	Asian	SEA1b	-	KC762941	KC762941/Asian/SEA1b/-/Melogale moschata}	JX09_17	KC762941/JX09_17/SEA1b	KC762941/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF154996	Homo sapiens	Arctic	AL1a	-	KF154996	KF154996/Arctic/AL1a/-/Homo sapiens}	RV61	KF154996/RV61/AL1a	KF154996/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF154998	Canis familiaris	Cosmopolitan	AF4	-	KF154998	KF154998/Cosmopolitan/AF4/-/Canis familiaris}	RV2324	KF154998/RV2324/AF4	KF154998/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF154999	Canis familiaris	Indian-Sub	-	-	KF154999	KF154999/Indian-Sub/-/-/Canis familiaris}	RV2417	KF154999/RV2417/-	KF154999/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF155000	Bos taurus	Cosmopolitan	CA2	-	KF155000	KF155000/Cosmopolitan/CA2/-/Bos taurus}	RV2516	KF155000/RV2516/CA2	KF155000/-
