sequence.sequenceID,alignment.name,alignment.displayName,sequence.m49_country.id,sequence.m49_country.display_name,sequence.gb_place_sampled,sequence.collection_year,sequence.earliest_collection_year,sequence.latest_collection_year,sequence.gb_length,sequence.gb_create_date,sequence.gb_update_date,sequence.host,sequence.gb_pubmed_id,sequence.isolate
MG458306,AL_Cosmopolitan_CE,Cosmopolitan CE,CZE,Czechia,-,-,-,2018,11924,31-Jan-18,31-Jan-18,Vulpes vulpes,29357361,RV860
KF154997,AL_Cosmopolitan_NEE,Cosmopolitan NEE,EST,Estonia,-,-,-,2013,11923,14-Jul-13,14-Jul-13,Nyctereutes procyonoides,23822119,RV437
LT909526,AL_Cosmopolitan_ME1a,Cosmopolitan ME1a,-,Iran,-,1991,1991,1991,11923,29-Jan-18,29-Jan-18,Vulpes vulpes,-,13162
LT909532,AL_Cosmopolitan_NEE,Cosmopolitan NEE,-,Poland,-,1994,1994,1994,11923,29-Jan-18,29-Jan-18,Vulpes vulpes,-,12929
LT909533,AL_Cosmopolitan_ME1a,Cosmopolitan ME1a,-,Saudi Arabia,-,1990,1990,1990,11923,29-Jan-18,29-Jan-18,Vulpes vulpes,-,13044
LT909537,AL_Cosmopolitan_NEE,Cosmopolitan NEE,-,Estonia,-,2000,2000,2000,11923,29-Jan-18,29-Jan-18,Vulpes vulpes,-,12951
LT909538,AL_Cosmopolitan_NEE,Cosmopolitan NEE,-,Finland,-,1990,1990,1990,11923,29-Jan-18,29-Jan-18,Vulpes vulpes,-,12989
LT909540,AL_Cosmopolitan_ME1a,Cosmopolitan ME1a,-,Saudi Arabia,-,1987,1987,1987,11923,29-Jan-18,29-Jan-18,Vulpes vulpes,-,13043
LT909547,AL_Cosmopolitan_CE,Cosmopolitan CE,-,Germany,-,1990,1990,1990,11923,29-Jan-18,29-Jan-18,Vulpes vulpes,-,13284
AF325464,AL_Cosmopolitan_CE,Cosmopolitan CE,-,Poland,-,1985,1985,1985,2091,20-Aug-01,20-Aug-01,Nyctereutes procyonoides,11483755,POL1-RD
AY854580,AL_Cosmopolitan_ME1a,Cosmopolitan ME1a,IRN,Iran,Khash,2000,2000,2000,1463,30-Apr-05,30-Apr-05,Capra aegagrus hircus,12948379,V685
AY854585,AL_Cosmopolitan_ME1a,Cosmopolitan ME1a,IRN,Iran,Estahban,2000,2000,2000,1456,30-Apr-05,30-Apr-05,Canis aureus,12948379,V715
