sequence.sequenceID,alignment.name,alignment.displayName,sequence.m49_country.id,sequence.m49_country.display_name,sequence.gb_place_sampled,sequence.collection_year,sequence.earliest_collection_year,sequence.latest_collection_year,sequence.gb_length,sequence.gb_create_date,sequence.gb_update_date,sequence.host,sequence.gb_pubmed_id,sequence.isolate
AB569299,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Gampaha,2008,2008,2008,11926,25-Dec-10,01-Apr-11,Homo sapiens,21298456,H-08-1320
AB635373,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Moneragala,2009,2009,2009,11926,17-Nov-11,15-Jun-13,Paradoxurus zeylonensis,22172202,H-1413-09
AB638767,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Galle,2008,2008,2008,1353,15-Oct-11,15-Jun-13,Homo sampiens 71 years old male,22172202,H-219-08
AB638768,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Matara,2008,2008,2008,1353,15-Oct-11,15-Jun-13,Homo sapiens,22172202,H-1218-08
AB638769,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Moneragala,2008,2008,2008,1353,15-Oct-11,15-Jun-13,Homo sapiens,22172202,H-1281-08
AB638770,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Matale,2009,2009,2009,1353,15-Oct-11,15-Jun-13,Homo sapiens,22172202,H-15-09
AB638771,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Kegalle,2009,2009,2009,1353,15-Oct-11,15-Jun-13,Homo sapiens,22172202,H-156-09
AB638772,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Kalutara,2009,2009,2009,1353,15-Oct-11,15-Jun-13,Felis catus,22172202,H-1366-09
AB817080,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Kurunegala,2008,2008,2008,1353,14-Jun-13,14-Jun-13,Homo sapiens,23722023,H-1123-08
AB817081,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Trincomalee,2009,2009,2009,1353,14-Jun-13,14-Jun-13,Homo sapiens,23722023,H-464-09
AB817082,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Batticaloa,2008,2008,2008,1353,14-Jun-13,14-Jun-13,Homo sapiens,23722023,H-1125-08
AB817083,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Kurunegala,2008,2008,2008,1353,14-Jun-13,14-Jun-13,Homo sapiens,23722023,H-1141-08
AB817084,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Colombo,2009,2009,2009,1353,14-Jun-13,14-Jun-13,Homo sapiens,23722023,H-1202-09
AB817085,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Anuradhapura,2009,2009,2009,1353,14-Jun-13,14-Jun-13,Homo sapiens,23722023,H-1227-09
AB817086,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Moneragala,2009,2009,2009,1353,14-Jun-13,14-Jun-13,Homo sapiens,23722023,H-1272-09
AB817087,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Ratnapura,2009,2009,2009,1353,14-Jun-13,14-Jun-13,Homo sapiens,23722023,H-1282-09
AB817088,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Kurunegala,2008,2008,2008,1353,14-Jun-13,14-Jun-13,Homo sapiens,23722023,H-1553-08
AB817089,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Colombo,2009,2009,2009,1353,14-Jun-13,14-Jun-13,Homo sapiens,23722023,H-224-09
AB817090,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Puttalam,2009,2009,2009,1353,14-Jun-13,14-Jun-13,Homo sapiens,23722023,H-36-09
AB817091,AL_Indian-Sub,Indian-Sub,LKA,Sri Lanka,Matara,2009,2009,2009,1353,14-Jun-13,14-Jun-13,Homo sapiens,23722023,H-425-09
