Accession	Strain	Country	Location	Common_name	Species_latin_binomial	Year	Major_clade	Minor_clade	Source	Reference	Coverage	Dataset
KX148235	01007CI	Ivory Coast		Dog 	Canis familiaris	2001	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148234	86036HAV	Burkina Faso		Dog 	Canis familiaris	1986	Africa-2		Mouse	This study	Complete genome	Kuzmin
KX148107	86097BEN	Benin		Cat	Felis catus	1986	Africa-2		Original brain	This study	Complete genome	Kuzmin
EU853614	8636HAV	Burkina Faso		Dog 	Canis familiaris	1986	Africa-2			[7]	N	Troupin
U22487	8660GUI	Guinea		Dog 	Canis familiaris	1986	Africa-2			[7]	N	Troupin
KX148243	88003CAM	Cameroon		Dog 	Canis familiaris	1987	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148231	90010NIG	Niger		Dog 	Canis familiaris	1990	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148229	90012NIG	Niger		Dog 	Canis familiaris	1990	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148240	90021TCH	Chad		Dog 	Canis familiaris	1990	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148244	90024GUI	Guinea		Dog 	Canis familiaris	1990	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148232	92037CI	Ivory Coast		Dog 	Canis familiaris	1992	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148233	92038CI	Ivory Coast		Dog 	Canis familiaris	1992	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148238	93003SEN	Senegal		Dog 	Canis familiaris	1991	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148239	93005SEN	Senegal		Dog 	Canis familiaris	1992	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148236	93011MAU	Mauritania		Dog 	Canis familiaris	1993	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148237	93012MAU	Mauritania		Dog 	Canis familiaris	1993	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148242	95002CAM	Cameroon		Dog 	Canis familiaris	1994	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148230	95047HAV	Burkina Faso		Dog 	Canis familiaris	1995	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148241	96009TCH	Chad		Dog 	Canis familiaris	1996	Africa-2		Original brain	This study	Complete genome	Kuzmin
AF325481	CAM1-UN	Cameroon		Dog 	Canis familiaris	1988	Africa-2			[19]	G	Troupin
KF977826	CAR_11_001	Central African Republic		Human 	Homo sapiens	2011	Africa-2		Saliva		Complete genome	Kuzmin
KC196743	DRV_NG11	Nigeria		Dog 	Canis familiaris	2011	Africa-2		Original brain		Complete genome	Kuzmin
AF325484	GUI1-DG	Guinea		Dog 	Canis familiaris	1986	Africa-2			[19]	G	Troupin
AF325483	MAU1-CL	Mauritania		Camel	Camelus dromedarius	1986	Africa-2			[19]	G	Troupin
AF325480	NIG1-DG	Niger		Dog 	Canis familiaris	1990	Africa-2			[19]	G	Troupin
AF369326	V461.DG	Nigeria		Dog 	Canis familiaris	1996	Africa-2			[18]	P	Troupin
KX148218	14016BOT	Botswana		Wildcat	Felis silvestris	2009	Africa-3		Original brain	This study	Complete genome	Kuzmin
KX148219	14017BOT	Botswana		Honey badger	Mellivora capensis	2009	Africa-3		Original brain	This study	Complete genome	Kuzmin
KX148223	14018AFS	South Africa		Feline	Und.	2000	Africa-3		Original brain	This study	Complete genome	Kuzmin
KX148220	15001AFS	South Africa		Yellow mongoose	Cynictis penicillata	2013	Africa-3		Original brain	This study	Complete genome	Kuzmin
KX148221	15002AFS	South Africa		Mongoose	Und.	2014	Africa-3		Original brain	This study	Complete genome	Kuzmin
KX148222	15003AFS	South Africa		Ground squirrel 	Xerus Inauris	2014	Africa-3		Original brain	This study	Complete genome	Kuzmin
AF325485	SAF1-MG	S. Africa		Yellow mongoose	Cynictis penicillata	1987	Africa-3			[19]	G	Troupin
AF369298	V046.MG	S. Africa		Yellow mongoose	Cynictis penicillata	1990	Africa-3			[18]	P	Troupin
AF369301	V050.MG	S. Africa		Yellow mongoose	Cynictis penicillata	1990	Africa-3			[18]	P	Troupin
AF369302	V264.MG	S. Africa		Yellow mongoose	Cynictis penicillata	1995	Africa-3			[18]	P	Troupin
AF467949		South Africa		Yellow mongoose	Cynictis penicillata		Africa-3			Jacob et al., unpublished	N	Troupin
JQ685988	A10-1431	NH		Red fox	Vulpes vulpes		Arctic	A	Original brain	Troupin	G	Troupin
JQ944707	1410KOM	Russia		Deer	Und.	2008	Arctic	A	Original brain	Chupin et al. unpublished	Complete genome	Kuzmin
AY352487	483a	Human 	Yakutia	Arctic fox	Vulpes lagopus	1986	Arctic	A	Mouse	[5]; this study	N	Troupin
JQ685982	483a	Russia	Yakutia	Arctic fox	Vulpes lagopus	1986	Arctic	A	Mouse	[5]; this study	G	Troupin
