Accession	Strain	SequenceID	GenBankName	Region	Year	Country	IslandGroup	Region	Province	Municipality	Species_latin_binomial	Accession	Major_clade	Minor_clade
AB563838	TRa-002	TRa-002_III_2008	RV/R3.PHL/2008/TRa-002	III	2008	Philippines	Luzon	III	Pampanga	San Simon	Canis familiaris	AB563838	AL_Asian	AL_Asian_SEA4
AB563839	TRa-005	TRa-005_V_2008	RV/R5.PHL/2008/TRa-005	V	2008	Philippines	Luzon	V	Albay	Tabaco City	Canis familiaris	AB563839	AL_Asian	AL_Asian_SEA4
AB563840	TRa-006	TRa-006_III_2008	RV/R3.PHL/2008/TRa-006	III	2008	Philippines	Luzon	III	Pampanga	Minalin	Canis familiaris	AB563840	AL_Asian	AL_Asian_SEA4
AB563841	TRa-009	TRa-009_III_2008	RV/R3.PHL/2008/TRa-009	III	2008	Philippines	Luzon	III	Nueva Ecija	Lupao	Canis familiaris	AB563841	AL_Asian	AL_Asian_SEA4
AB563842	TRa-010	TRa-010_III_2008	RV/R3.PHL/2008/TRa-010	III	2008	Philippines	Luzon	III	Pampanga	Santa Ana	Canis familiaris	AB563842	AL_Asian	AL_Asian_SEA4
AB563843	TRa-011	TRa-011_III_2008	RV/R3.PHL/2008/TRa-011	III	2008	Philippines	Luzon	III	Zambales	Subic	Felis catus	AB563843	AL_Asian	AL_Asian_SEA4
AB563844	TRa-013	TRa-013_III_2008	RV/R3.PHL/2008/TRa-013	III	2008	Philippines	Luzon	III	Tarlac	Concepcion	Canis familiaris	AB563844	AL_Asian	AL_Asian_SEA4
AB563845	TRa-014	TRa-014_X_2008	RV/R10.PHL/2008/TRa-014	X	2008	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB563845	AL_Asian	AL_Asian_SEA4
AB563846	TRa-016	TRa-016_III_2008	RV/R3.PHL/2008/TRa-016	III	2008	Philippines	Luzon	III	Zambales	San Antonio	Canis familiaris	AB563846	AL_Asian	AL_Asian_SEA4
AB683585	TRa-017	TRa-017_III_2008	RV/R3.PHL/2008/TRa-017	III	2008	Philippines	Luzon	III	Pampanga	Mexico	Canis familiaris	AB683585	AL_Asian	AL_Asian_SEA4
AB563847	TRa-018	TRa-018_III_2008	RV/R3.PHL/2008/TRa-018	III	2008	Philippines	Luzon	III	Zambales	San Antonio	Canis familiaris	AB563847	AL_Asian	AL_Asian_SEA4
AB563848	TRa-019	TRa-019_III_2008	RV/R3.PHL/2008/TRa-019	III	2008	Philippines	Luzon	III	Pampanga	Mabalacat	Canis familiaris	AB563848	AL_Asian	AL_Asian_SEA4
AB563849	TRa-020	TRa-020_III_2008	RV/R3.PHL/2008/TRa-020	III	2008	Philippines	Luzon	III	Pampanga	Santa Rita	Canis familiaris	AB563849	AL_Asian	AL_Asian_SEA4
AB563850	TRa-021	TRa-021_III_2008	RV/R3.PHL/2008/TRa-021	III	2008	Philippines	Luzon	III	Nueva Ecija	Quezon	Canis familiaris	AB563850	AL_Asian	AL_Asian_SEA4
AB563851	TRa-022	TRa-022_III_2008	RV/R3.PHL/2008/TRa-022	III	2008	Philippines	Luzon	III	Pampanga	Mabalacat	Canis familiaris	AB563851	AL_Asian	AL_Asian_SEA4
AB563852	TRa-024	TRa-024_X_2008	RV/R10.PHL/2008/TRa-024	X	2008	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB563852	AL_Asian	AL_Asian_SEA4
AB563853	TRa-025	TRa-025_X_2008	RV/R10.PHL/2008/TRa-025	X	2008	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB563853	AL_Asian	AL_Asian_SEA4
AB563854	TRa-026	TRa-026_X_2008	RV/R10.PHL/2008/TRa-026	X	2008	Philippines	Mindanao	X	Misamis Oriental	Lagonglong	Canis familiaris	AB563854	AL_Asian	AL_Asian_SEA4
AB563855	TRa-027	TRa-027_X_2008	RV/R10.PHL/2008/TRa-027	X	2008	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB563855	AL_Asian	AL_Asian_SEA4
AB563856	TRa-028	TRa-028_X_2008	RV/R10.PHL/2008/TRa-028	X	2008	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB563856	AL_Asian	AL_Asian_SEA4
AB563857	TRa-030	TRa-030_X_2008	RV/R10.PHL/2008/TRa-030	X	2008	Philippines	Mindanao	X	Misamis Oriental	Manticao	Canis familiaris	AB563857	AL_Asian	AL_Asian_SEA4
AB563858	TRa-031	TRa-031_V_2008	RV/R5.PHL/2008/TRa-031	V	2008	Philippines	Luzon	V	Albay	Bacacay	Canis familiaris	AB563858	AL_Asian	AL_Asian_SEA4
AB563859	TRa-032	TRa-032_V_2008	RV/R5.PHL/2008/TRa-032	V	2008	Philippines	Luzon	V	Albay	Bacacay	Canis familiaris	AB563859	AL_Asian	AL_Asian_SEA4
AB563860	TRa-034	TRa-034_V_2008	RV/R5.PHL/2008/TRa-034	V	2008	Philippines	Luzon	V	Albay	Tabaco City	Canis familiaris	AB563860	AL_Asian	AL_Asian_SEA4
AB563861	TRa-036	TRa-036_V_2008	RV/R5.PHL/2008/TRa-036	V	2008	Philippines	Luzon	V	Camarines Sur	Naga City	Canis familiaris	AB563861	AL_Asian	AL_Asian_SEA4
AB563862	TRa-037	TRa-037_V_2008	RV/R5.PHL/2008/TRa-037	V	2008	Philippines	Luzon	V	Camarines Sur	Gainza	Canis familiaris	AB563862	AL_Asian	AL_Asian_SEA4
AB563863	TRa-038	TRa-038_III_2008	RV/R3.PHL/2008/TRa-038	III	2008	Philippines	Luzon	III	Pampanga	San Fernando	Canis familiaris	AB563863	AL_Asian	AL_Asian_SEA4
AB563864	TRa-040	TRa-040_III_2008	RV/R3.PHL/2008/TRa-040	III	2008	Philippines	Luzon	III	Zambales	San Felipe	Canis familiaris	AB563864	AL_Asian	AL_Asian_SEA4
AB563865	TRa-041	TRa-041_III_2008	RV/R3.PHL/2008/TRa-041	III	2008	Philippines	Luzon	III	Tarlac	Moncada	Canis familiaris	AB563865	AL_Asian	AL_Asian_SEA4
AB563867	TRa-047	TRa-047_III_2008	RV/R3.PHL/2008/TRa-047	III	2008	Philippines	Luzon	III	Zambales	San Narciso	Canis familiaris	AB563867	AL_Asian	AL_Asian_SEA4
AB563868	TRa-048	TRa-048_III_2008	RV/R3.PHL/2008/TRa-048	III	2008	Philippines	Luzon	III	Zambales	San Narciso	Canis familiaris	AB563868	AL_Asian	AL_Asian_SEA4
AB563869	TRa-049	TRa-049_III_2008	RV/R3.PHL/2008/TRa-049	III	2008	Philippines	Luzon	III	Pampanga	Candaba	Canis familiaris	AB563869	AL_Asian	AL_Asian_SEA4
AB563870	TRa-051	TRa-051_III_2008	RV/R3.PHL/2008/TRa-051	III	2008	Philippines	Luzon	III	Pampanga	Magalang	Canis familiaris	AB563870	AL_Asian	AL_Asian_SEA4
AB563871	TRa-052	TRa-052_X_2008	RV/R10.PHL/2008/TRa-052	X	2008	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB563871	AL_Asian	AL_Asian_SEA4
AB563872	TRa-053	TRa-053_X_2008	RV/R10.PHL/2008/TRa-053	X	2008	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB563872	AL_Asian	AL_Asian_SEA4
AB563873	TRa-054	TRa-054_X_2008	RV/R10.PHL/2008/TRa-054	X	2008	Philippines	Mindanao	X	Lanao del Norte	Iligan City	Canis familiaris	AB563873	AL_Asian	AL_Asian_SEA4
AB563874	TRa-055	TRa-055_X_2008	RV/R10.PHL/2008/TRa-055	X	2008	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB563874	AL_Asian	AL_Asian_SEA4
