Accession	Strain	Country	Province	Location	Export_country	Common_name	Species_latin_binomial	Year	Major_clade	Minor_clade	Source	Reference	Coverage	Dataset
JQ686006	WR93-1654	USA	AZ		USA	Pallid bat	Antrozous pallidus	1993	Bats	AP	Original brain	Troupin	G	Troupin
JQ685971	AZ3003	USA	AZ		USA	Pallid bat	Antrozous pallidus	2009	Bats	AP	N-P-M-G - original brain; L and termini - mouse	Troupin	Complete genome	Troupin
AB519641	BR_AL1	Brazil			Brazil	Great fruit-eating bat	Artibeus lituratus	1998	Bats	DR	Original brain		Complete genome	Kuzmin
JQ685937	2396	USA	AZ	Flagstaff	USA	Ring-tailed cat	Bassariscus astutus	2009	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
KC193267	CNM1101C	China			China	Cow	Bos taurus	2011	Asian	SEA1b	Original brain	Yin et al. unpublished	Complete genome	Kuzmin
KC169986	GXHXN	China			China	Cow	Bos taurus	2009	Asian	SEA1b	Original brain		Complete genome	Kuzmin
AF369330	V458.DG	India			India	Cow	Bos taurus	1991	Arctic	AL1a		[18]	P	Troupin
KF155000	RV2516	Iraq			Iraq	Cow	Bos taurus	2010	Cosmopolitan	CA2	Original brain		Complete genome	Kuzmin
KX148184	96324ISR	Israel			Israel	Cow	Bos taurus	1996	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
JQ685936	3634DR	Mexico			Mexico	Cow	Bos taurus	2009	Bats	DR	Mouse	This study	N, P, M, G, L	Troupin
KX148104	86058YOU	Montenegro			Montenegro	Cow	Bos taurus	1978	Cosmopolitan	YUGCOW	Mouse	This study	Complete genome	Kuzmin
KF155001	RV2627	Morocco			Morocco	Cow	Bos taurus	2009	Cosmopolitan	AF1a	Original brain		Complete genome	Kuzmin
KX148108	11001NEP	Nepal			Nepal	Cow	Bos taurus	2011	Indian-Sub		Original brain	This study	Complete genome	Kuzmin
HE802675	Pk_23	Pakistan			Pakistan	Cow	Bos taurus	2010	Arctic	AL1a	Mouse	Hussain et al. unpublished	Complete genome	Kuzmin
HE802676	Pk_24	Pakistan			Pakistan	Cow	Bos taurus	2007	Arctic	AL1a	Mouse	Hussain et al. unpublished	Complete genome	Kuzmin
KC171643	08F40	South Korea			South Korea	Cattle	Bos taurus	2008	Arctic	AL2	Original brain		Complete genome	Kuzmin
JQ685992	SL-cow	Sri Lanka			Sri Lanka	Cow	Bos taurus		Indian-Sub		Original brain	Troupin	G	Troupin
AF325463	YUG1-WF	Serbia			Serbia	Cow	Bos taurus	1984	Cosmopolitan	YUGCOW		[19]	G	Troupin
KX148245	09029NEP	Nepal			Nepal	Buffalo	Bovidae sp.	2009	Indian-Sub		Original brain	This study	Complete genome	Kuzmin
AF325483	MAU1-CL	Mauritania			Mauritania	Camel	Camelus dromedarius	1986	Africa-2			[19]	G	Troupin
KX148169	91034OMA	Oman			Oman	Camel	Camelus dromedarius	1990	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148180	93030ISR	Israel			Israel	Fox	Canidae sp.	1993	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148183	93031ISR	Israel			Israel	Fox	Canidae sp.	1993	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148177	96317ISR	Israel			Israel	Fox	Canidae sp.	1996	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
JX473838	178J09	Namibia			Namibia	Jackal	Canidae sp.	2009	Cosmopolitan	AF1b		Scott et al. unpublished	Complete genome	Kuzmin
