"Accession","Strain","Country","Location","Common_name","Species_latin_binomial","Year","Major_clade","Minor_clade","Source","Reference","Coverage","Dataset","clusters"
"KX148235","01007CI","Ivory Coast","","Dog","Canis familiaris",2001,"Africa-2","","Original brain","This study","Complete genome","Kuzmin","Clust_51"
"KX148234","86036HAV","Burkina Faso","","Dog","Canis familiaris",1986,"Africa-2","","Mouse","This study","Complete genome","Kuzmin","Clust_51"
"KX148107","86097BEN","Benin","","Cat","Felis catus",1986,"Africa-2","","Original brain","This study","Complete genome","Kuzmin","Clust_51"
"EU853614","8636HAV","Burkina Faso","","Dog","Canis familiaris",1986,"Africa-2","","","[7]","N","Troupin","Clust_51"
"U22487","8660GUI","Guinea","","Dog","Canis familiaris",1986,"Africa-2","","","[7]","N","Troupin","Clust_44"
"KX148243","88003CAM","Cameroon","","Dog","Canis familiaris",1987,"Africa-2","","Original brain","This study","Complete genome","Kuzmin","Clust_50"
"KX148231","90010NIG","Niger","","Dog","Canis familiaris",1990,"Africa-2","","Original brain","This study","Complete genome","Kuzmin","Clust_51"
"KX148229","90012NIG","Niger","","Dog","Canis familiaris",1990,"Africa-2","","Original brain","This study","Complete genome","Kuzmin","Clust_51"
"KX148240","90021TCH","Chad","","Dog","Canis familiaris",1990,"Africa-2","","Original brain","This study","Complete genome","Kuzmin","Clust_50"
"KX148244","90024GUI","Guinea","","Dog","Canis familiaris",1990,"Africa-2","","Original brain","This study","Complete genome","Kuzmin","Clust_44"
"KX148232","92037CI","Ivory Coast","","Dog","Canis familiaris",1992,"Africa-2","","Original brain","This study","Complete genome","Kuzmin","Clust_51"
"KX148233","92038CI","Ivory Coast","","Dog","Canis familiaris",1992,"Africa-2","","Original brain","This study","Complete genome","Kuzmin","Clust_51"
"KX148238","93003SEN","Senegal","","Dog","Canis familiaris",1991,"Africa-2","","Original brain","This study","Complete genome","Kuzmin","Clust_51"
"KX148239","93005SEN","Senegal","","Dog","Canis familiaris",1992,"Africa-2","","Original brain","This study","Complete genome","Kuzmin","Clust_51"
"KX148236","93011MAU","Mauritania","","Dog","Canis familiaris",1993,"Africa-2","","Original brain","This study","Complete genome","Kuzmin","Clust_51"
"KX148237","93012MAU","Mauritania","","Dog","Canis familiaris",1993,"Africa-2","","Original brain","This study","Complete genome","Kuzmin","Clust_51"
"KX148242","95002CAM","Cameroon","","Dog","Canis familiaris",1994,"Africa-2","","Original brain","This study","Complete genome","Kuzmin","Clust_50"
"KX148230","95047HAV","Burkina Faso","","Dog","Canis familiaris",1995,"Africa-2","","Original brain","This study","Complete genome","Kuzmin","Clust_51"
"KX148241","96009TCH","Chad","","Dog","Canis familiaris",1996,"Africa-2","","Original brain","This study","Complete genome","Kuzmin","Clust_50"
"AF325481","CAM1-UN","Cameroon","","Dog","Canis familiaris",1988,"Africa-2","","","[19]","G","Troupin","Clust_50"
"KF977826","CAR_11_001","Central African Republic","","Human","Homo sapiens",2011,"Africa-2","","Saliva","","Complete genome","Kuzmin","Clust_50"
"KC196743","DRV_NG11","Nigeria","","Dog","Canis familiaris",2011,"Africa-2","","Original brain","","Complete genome","Kuzmin","Clust_50"
"AF325484","GUI1-DG","Guinea","","Dog","Canis familiaris",1986,"Africa-2","","","[19]","G","Troupin","Clust_44"
"AF325483","MAU1-CL","Mauritania","","Camel","Camelus dromedarius",1986,"Africa-2","","","[19]","G","Troupin","Clust_51"
"AF325480","NIG1-DG","Niger","","Dog","Canis familiaris",1990,"Africa-2","","","[19]","G","Troupin","Clust_51"
"AF369326","V461.DG","Nigeria","","Dog","Canis familiaris",1996,"Africa-2","","","[18]","P","Troupin","Clust_51"
"KX148218","14016BOT","Botswana","","Wildcat","Felis silvestris",2009,"Africa-3","","Original brain","This study","Complete genome","Kuzmin","Clust_39"
"KX148219","14017BOT","Botswana","","Honey badger","Mellivora capensis",2009,"Africa-3","","Original brain","This study","Complete genome","Kuzmin","Clust_39"
"KX148223","14018AFS","South Africa","","Feline","Und.",2000,"Africa-3","","Original brain","This study","Complete genome","Kuzmin","Clust_40"
"KX148220","15001AFS","South Africa","","Yellow mongoose","Cynictis penicillata",2013,"Africa-3","","Original brain","This study","Complete genome","Kuzmin","Clust_58"
"KX148221","15002AFS","South Africa","","Mongoose","Und.",2014,"Africa-3","","Original brain","This study","Complete genome","Kuzmin","Clust_58"
"KX148222","15003AFS","South Africa","","Ground squirrel","Xerus Inauris",2014,"Africa-3","","Original brain","This study","Complete genome","Kuzmin","Clust_57"
"AF325485","SAF1-MG","S. Africa","","Yellow mongoose","Cynictis penicillata",1987,"Africa-3","","","[19]","G","Troupin","Clust_52"
"AF369298","V046.MG","S. Africa","","Yellow mongoose","Cynictis penicillata",1990,"Africa-3","","","[18]","P","Troupin","Clust_58"
"AF369301","V050.MG","S. Africa","","Yellow mongoose","Cynictis penicillata",1990,"Africa-3","","","[18]","P","Troupin","Clust_45"
"AF369302","V264.MG","S. Africa","","Yellow mongoose","Cynictis penicillata",1995,"Africa-3","","","[18]","P","Troupin","Clust_40"
"AF467949","","South Africa","","Yellow mongoose","Cynictis penicillata",NA,"Africa-3","","","Jacob et al., unpublished","N","Troupin","Clust_41"
"JQ685988","A10-1431","NH","","Red fox","Vulpes vulpes",NA,"Arctic","A","Original brain","Troupin","G","Troupin","Clust_43"
"JQ944707","1410KOM","Russia","","Deer","Und.",2008,"Arctic","A","Original brain","Chupin et al. unpublished","Complete genome","Kuzmin","Clust_43"
"AY352487","483a","Human","Yakutia","Arctic fox","Vulpes lagopus",1986,"Arctic","A","Mouse","[5]; this study","N","Troupin","Clust_43"
"JQ685982","483a","Russia","Yakutia","Arctic fox","Vulpes lagopus",1986,"Arctic","A","Mouse","[5]; this study","G","Troupin","Clust_43"
"KX148105","86083GRO","Greenland","","Dog","Canis familiaris",1980,"Arctic","A","Mouse","This study","Complete genome","Kuzmin","Clust_43"
"KX148224","91004USA","USA","","Striped skunk","Mephitis mephitis",1991,"Arctic","A","Original brain","This study","Complete genome","Kuzmin","Clust_43"
"KX148106","91005USA","USA","","Red fox","Vulpes vulpes",1990,"Arctic","A","Original brain","This study","Complete genome","Kuzmin","Clust_43"
"EF611853","A0905","USA","AK","Dog","Canis familiaris",2006,"Arctic","A","Original brain","[11]; this study","N","Troupin","Clust_43"
"JQ685980","A0905","USA","AK","Dog","Canis familiaris",2006,"Arctic","A","Original brain","[11]; this study","G","Troupin","Clust_43"
"JQ685990","Fox-9064","NH","","Red fox","Vulpes vulpes",NA,"Arctic","A","Original brain","Troupin","G","Troupin","Clust_43"
"AF369265","ONT1.RFX","Canada","","Striped skunk","Mephitis mephitis",1991,"Arctic","A","","[18]","P","Troupin","Clust_43"
"AF369266","ONT2.RFX","Canada","","Red fox","Vulpes vulpes",1990,"Arctic","A","","[18]","P","Troupin","Clust_43"
"EF437215","NNV_RAB_H","India","","Human","Homo sapiens",2006,"Arctic","AL1a","Original brain","Desai et al., unpublished","Complete genome","Troupin","Clust_54"
"HE802675","Pk_23","Pakistan","","Cow","Bos taurus",2010,"Arctic","AL1a","Mouse","Hussain et al. unpublished","Complete genome","Kuzmin","Clust_54"
"AY352493","rv61","UK (via India)","","Human","Homo sapiens",1987,"Arctic","AL1a","Mouse","[5]; this study","N","Troupin","Clust_54"
"JQ685981","rv61","UK (via India)","","Human","Homo sapiens",1987,"Arctic","AL1a","Mouse","[5]; this study","G","Troupin","Clust_54"
"KF154996","RV61","India","","Human","Homo sapiens",1987,"Arctic","AL1a","Mouse","","Complete genome","Kuzmin","Clust_54"
"AY956319","Serotype_1","Germany (via India)","","Human","Homo sapiens",2004,"Arctic","AL1a","Saliva?","Pfefferle et al., unpublished","Complete genome","Troupin","Clust_54"
"AF369330","V458.DG","India","","Cow","Bos taurus",1991,"Arctic","AL1a","","[18]","P","Troupin","Clust_54"
"KX148225","02052AFG","Afghanistan","","Dog","Canis familiaris",2002,"Arctic","AL1b","Original brain","This study","Complete genome","Kuzmin","Clust_53"
"KX148227","04029AFG","Afghanistan","","Dog","Canis familiaris",2004,"Arctic","AL1b","Original brain","This study","Complete genome","Kuzmin","Clust_53"
"KX148226","04035AFG","Afghanistan","","Dog","Canis familiaris",2002,"Arctic","AL1b","Original brain","This study","Complete genome","Kuzmin","Clust_53"
"HE802676","Pk_24","Pakistan","","Cow","Bos taurus",2007,"Arctic","AL1b","Mouse","Hussain et al. unpublished","Complete genome","Kuzmin","Clust_53"
"KC171643","08F40","South Korea","","Cattle","Bos taurus",2008,"Arctic","AL2","Original brain","","Complete genome","Kuzmin","Clust_47"
"AY352459","304c","Russia","Tyva","Corsac fox","Vulpes corsac",1977,"Arctic","AL2","Mouse","[5]; this study","N","Troupin","Clust_42"
"JQ685983","304c","Russia","Tyva","Corsac fox","Vulpes corsac",1977,"Arctic","AL2","Mouse","[5]; this study","G","Troupin","Clust_46"
"KC171644","BD0406CC","South Korea","","Raccoon dog","Nyctereutes procyonoides",2004,"Arctic","AL2","Original brain","","Complete genome","Kuzmin","Clust_47"
"KC171645","BV9901PJ","South Korea","","Raccoon dog","Nyctereutes procyonoides",1999,"Arctic","AL2","Original brain","","Complete genome","Kuzmin","Clust_47"
"KM272192","CQH1202D","China","","Dog","Canis familiaris",2012,"Arctic","AL2","","Guo et al. unpublished","Complete genome","Kuzmin","Clust_46"
"AF369284","RU9.RD","Russia","","Raccoon dog","Nyctereutes procyonoides",1988,"Arctic","AL2","","[18]","P","Troupin","Clust_47"
"KX148228","99001NEP","Nepal","","Dog","Canis familiaris",1998,"Arctic","AL3","Original brain","This study","Complete genome","Kuzmin","Clust_48"
"AF369317","V121.DG","Nepal","","Dog","Canis familiaris",1989,"Arctic","AL3","","[18]","P","Troupin","Clust_48"
"KX148267","02050CHI","China","","Human","Homo sapiens",1992,"Asian","SEA1a","Mouse","This study","Complete genome","Kuzmin","Clust_60"
"GU345746","CQ92","China","","Dog","Canis familiaris",1992,"Asian","SEA1a","","Meng et al.,unpublished","Complete genome","Troupin","Clust_60"
"GU345747","RV_J","China","","Human","Homo sapiens",1986,"Asian","SEA1a","","Meng et al., unpublished","Complete genome","Troupin","Clust_60"
"KX148266","03003INDO","Indonesia","","Dog","Canis familiaris",2003,"Asian","SEA1b","Mouse","This study","Complete genome","Kuzmin","Clust_65"
"EU086146","05005CHI","China","","Dog","Canis familiaris",2005,"Asian","SEA1b","","[10]","G","Troupin","Clust_81"
